$id,test,$createdAt,$updatedAt,name,description,category,type,price,billing_interval,features,is_active
EBOOK-001,Health Product 001,,,"Mental Clarity Formula + Worksheet","E-book with practical techniques for focus and mental clarity. Includes an exclusive worksheet.",SanusAI Health,E-Book,7.95,one-time,"E-book (PDF), Worksheet (Excel/Google Sheets), Bonus material",true
EBOOK-002,Health Product 002,,,"24H Energy Code + Worksheet","Guide to optimizing your daily routine for sustained energy. Comes with a customizable energy planner worksheet.",SanusAI Health,E-Book,7.95,one-time,"E-book (PDF), Worksheet (Excel/Google Sheets), Action plan",true
EBOOK-003,Health Product 003,,,"Indestructible Mind + Worksheet","Build resilience and unshakeable mental strength. Includes a resilience training worksheet.",SanusAI Health,E-Book,7.95,one-time,"E-book (PDF), Worksheet (Excel/Google Sheets), Practical exercises",true
EBOOK-004,Health Product 004,,,"Smart Body Program + Worksheet","Holistic health program combining nutrition and movement. Includes a progress tracking worksheet.",SanusAI Health,E-Book,7.95,one-time,"E-book (PDF), Worksheet (Excel/Google Sheets), Meal & workout planner",true
EBOOK-BUNDLE-001,Health Product 005,,,"4 Powerful Guides + 4 Worksheets","Complete bundle of all 4 health e-books with their respective worksheets. Best value package.",SanusAI Health,E-Book Bundle,34.99,one-time,"4 E-books (PDF), 4 Worksheets (Excel/Google Sheets), Exclusive bundle bonuses",true
HEALTH-LIFETIME,Health Product 006,,,"Health Lifetime Access","Lifetime access to all current and future SanusAI Health digital products, updates, and exclusive content.",SanusAI Health,Lifetime Membership,425.90,one-time,"All health e-books, All worksheets, Future content, Priority updates, Exclusive community",true
HEALTH-MONTHLY-001,Health Product 007,,,"Smart Health Plan","Monthly health subscription with access to 1 premium e-book + worksheet each month.",SanusAI Health,Subscription,14.95,monthly,"Monthly e-book + worksheet, Basic health tips, Email support",true
HEALTH-MONTHLY-002,Health Product 008,,,"Pro Active Health Plan","Monthly subscription with 2 premium e-books + worksheets monthly and advanced health guides.",SanusAI Health,Subscription,24.90,monthly,"2 monthly e-books + worksheets, Advanced guides, Priority email support, Webinars",true
HEALTH-MONTHLY-003,Health Product 009,,,"Elite Life Health Plan","Premium monthly subscription with all health content, personalized plans, and VIP support.",SanusAI Health,Subscription,69.90,monthly,"All monthly content, Personalized health plans, 1-on-1 consultation (quarterly), VIP support, Early access",true
HEALTH-QUARTERLY-001,Health Product 010,,,"Smart Health Plan (3 Months)","3-month health subscription with access to 1 premium e-book + worksheet each month.",SanusAI Health,Subscription,39.90,quarterly,"3 e-books + worksheets, Basic health tips, Email support, 10% discount vs monthly",true
HEALTH-QUARTERLY-002,Health Product 011,,,"Pro Active Health Plan (3 Months)","3-month subscription with 2 premium e-books + worksheets monthly and advanced guides.",SanusAI Health,Subscription,67.95,quarterly,"6 e-books + worksheets, Advanced guides, Priority support, Webinars, 10% discount vs monthly",true
HEALTH-QUARTERLY-003,Health Product 012,,,"Elite Life Health Plan (3 Months)","Premium 3-month subscription with all health content and VIP benefits.",SanusAI Health,Subscription,189.90,quarterly,"All content for 3 months, Personalized plans, Quarterly consultation, VIP support, 10% discount vs monthly",true
HEALTH-ANNUAL-001,Health Product 013,,,"Smart Health Plan (Annual)","Annual health subscription with access to 1 premium e-book + worksheet each month.",SanusAI Health,Subscription,149.00,yearly,"12 e-books + worksheets, Basic health tips, Email support, 17% discount vs monthly",true
HEALTH-ANNUAL-002,Health Product 014,,,"Pro Active Health Plan (Annual)","Annual subscription with 2 premium e-books + worksheets monthly and advanced guides.",SanusAI Health,Subscription,249.00,yearly,"24 e-books + worksheets, Advanced guides, Priority support, Webinars, 17% discount vs monthly",true
HEALTH-ANNUAL-003,Health Product 015,,,"Elite Life Health Plan (Annual)","Premium annual subscription with all health content and maximum savings.",SanusAI Health,Subscription,599.00,yearly,"All content for 1 year, Personalized plans, Quarterly consultations, VIP support, 29% discount vs monthly",true
FINANCE-EBOOK-001,Finance Product 001,,,"Complete Personal Finance Guide + Worksheet","Comprehensive guide to managing personal finances effectively. Includes budget worksheet.",Money Media Calculator,E-Book,9.95,one-time,"E-book (PDF), Budget worksheet, Financial templates",true
FINANCE-EBOOK-002,Finance Product 002,,,"From Saver to Investor + Worksheet","Step-by-step guide to transition from saving to intelligent investing. Includes investment planner.",Money Media Calculator,E-Book,9.95,one-time,"E-book (PDF), Investment worksheet, Portfolio tracker",true
FINANCE-EBOOK-003,Finance Product 003,,,"Modern Home Economics + Worksheet","Combine traditional practices with modern economic solutions for home management. Includes household budget worksheet.",Money Media Calculator,E-Book,9.95,one-time,"E-book (PDF), Household budget worksheet, Sustainability tips",true
FINANCE-EBOOK-004,Finance Product 004,,,"Debt-Free Code + Worksheet","Proven system to eliminate debt and build financial freedom. Includes debt repayment worksheet.",Money Media Calculator,E-Book,9.95,one-time,"E-book (PDF), Debt repayment worksheet, Financial recovery plan",true
FINANCE-EBOOK-005,Finance Product 005,,,"Wealth Mindset + Worksheet","Develop the mental framework for wealth creation and financial success. Includes mindset exercises worksheet.",Money Media Calculator,E-Book,9.95,one-time,"E-book (PDF), Mindset worksheet, Daily practices guide",true
FINANCE-BUNDLE-001,Finance Product 006,,,"Complete Finance Worksheets Bundle","Complete package of all 5 finance worksheets for comprehensive financial management.",Money Media Calculator,Worksheet Bundle,29.90,one-time,"5 specialized worksheets (Excel/Google Sheets), Financial calculators, Templates package",true
FINANCE-LIFETIME,Finance Product 007,,,"Premium Lifetime Finance Access","Lifetime access to all current and future Money Media Calculator products, tools, and updates.",Money Media Calculator,Lifetime Membership,249.00,one-time,"All finance e-books, All worksheets, Future tools & calculators, Premium updates, Exclusive community",true
FINANCE-MONTHLY-001,Finance Product 008,,,"Smart Finance Base Plan","Monthly finance subscription with 1 premium financial tool + worksheet each month.",Money Media Calculator,Subscription,14.95,monthly,"Monthly financial tool + worksheet, Basic calculators, Email support",true
FINANCE-MONTHLY-002,Finance Product 009,,,"Smart Finance Plus Plan","Monthly subscription with 2 premium financial tools + worksheets monthly and advanced resources.",Money Media Calculator,Subscription,24.99,monthly,"2 monthly tools + worksheets, Advanced calculators, Priority email support, Financial webinars",true
FINANCE-MONTHLY-003,Finance Product 010,,,"Smart Finance Master Plan","Premium monthly finance subscription with all tools, personalized analysis, and VIP support.",Money Media Calculator,Subscription,69.99,monthly,"All monthly tools, Personalized financial analysis, 1-on-1 consultation (quarterly), VIP support",true
FINANCE-QUARTERLY-001,Finance Product 011,,,"Smart Finance Base Plan (3 Months)","3-month finance subscription with 1 premium financial tool + worksheet each month.",Money Media Calculator,Subscription,37.95,quarterly,"3 financial tools + worksheets, Basic calculators, Email support, 15% discount vs monthly",true
FINANCE-QUARTERLY-002,Finance Product 012,,,"Smart Finance Plus Plan (3 Months)","3-month subscription with 2 premium financial tools + worksheets monthly.",Money Media Calculator,Subscription,69.90,quarterly,"6 financial tools + worksheets, Advanced calculators, Priority support, 7% discount vs monthly",true
FINANCE-QUARTERLY-003,Finance Product 013,,,"Smart Finance Master Plan (3 Months)","Premium 3-month finance subscription with all tools and VIP benefits.",Money Media Calculator,Subscription,209.99,quarterly,"All tools for 3 months, Personalized analysis, Quarterly consultation, VIP support",true
FINANCE-ANNUAL-001,Finance Product 014,,,"Smart Finance Base Plan (Annual)","Annual finance subscription with 1 premium financial tool + worksheet each month.",Money Media Calculator,Subscription,149.00,yearly,"12 financial tools + worksheets, Basic calculators, Email support, 17% discount vs monthly",true
FINANCE-ANNUAL-002,Finance Product 015,,,"Smart Finance Plus Plan (Annual)","Annual subscription with 2 premium financial tools + worksheets monthly.",Money Media Calculator,Subscription,249.00,yearly,"24 financial tools + worksheets, Advanced calculators, Priority support, 17% discount vs monthly",true
FINANCE-ANNUAL-003,Finance Product 016,,,"Smart Finance Master Plan (Annual)","Premium annual finance subscription with all tools and maximum savings.",Money Media Calculator,Subscription,597.95,yearly,"All tools for 1 year, Personalized analysis, Quarterly consultations, VIP support, 29% discount vs monthly",true